CAND_ID,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ELECTION_YR,CAND_PCC
P00003335,George Bush,REP,2000,C00360503
P80000912,Al Gore,DEM,2000,C00360982
P80002801,John Mccain,REP,2000,C00342154
P80000235,John Kerry,DEM,2004,C00383653
P00003335,George Bush,REP,2004,C00404343
P00003392,Hillary Clinton,DEM,2008,C00431569
P80000235,John Kerry,DEM,2004,C00404160
P80002801,John Mccain,REP,2008,C00453928
P80003338,Barack Obama,DEM,2008,C00431445
P80003353,Mitt Romney,REP,2008,C00431171
P80002801,John Mccain,REP,2008,C00430470
P80003338,Barack Obama,DEM,2012,C00431445
P80003353,Mitt Romney,REP,2012,C00431171
P00003392,Hillary Clinton,DEM,2016,C00575795
P80001571,Donald Trump,REP,2016,C00580100
P80001571,Donald Trump,REP,2020,C00580100
